"ageOfOnsetMax_ID";"dx_criteria_ID";"ageOfOnsetMax"
"1";"1514";"5"
"1";"1515";"5"
"2";"2316";"10"
"2";"1469";"10"
"2";"1965";"10"
"2";"1966";"10"
"2";"1972";"10"
"3";"1550";"12"
"4";"2323";"13"
"4";"2325";"13"
"5";"966";"15"
"6";"700";"18"
"6";"707";"18"
"6";"708";"18"
"6";"709";"18"
"6";"1558";"18"
"6";"1560";"18"
"6";"1562";"18"
"6";"1969";"18"
"271";"348";"11"
"271";"349";"11"
"271";"350";"11"
"271";"351";"11"
"271";"356";"11"
"271";"360";"11"
"271";"361";"11"
"271";"362";"11"
"271";"365";"11"
"271";"367";"11"
"271";"368";"11"
"271";"375";"11"
"271";"376";"11"
"271";"377";"11"
"271";"379";"11"
"271";"383";"11"
"271";"710";"11"
"271";"711";"11"
"271";"712";"11"
"271";"713";"11"
"271";"1502";"11"
"271";"1503";"11"
"271";"1508";"11"
"271";"1510";"11"
"271";"1580";"11"
"851";"1918";"6"
