"gen_duration_ID";"dx_criteria_ID";"genDuration"
"29";"1667";">14"
"30";"2538";">=14"
"31";"1636";">30"
"31";"1654";">30"
"31";"1898";">30"
"31";"1902";">30"
"31";"1905";">30"
"31";"1912";">30"
"31";"1918";">30"
"32";"1197";">=30"
"32";"1203";">=30"
"32";"1240";">=30"
"34";"1279";">=90"
"34";"1291";">=90"
"34";"1327";">=90"
"35";"1655";">180"
"35";"182";">180"
"35";"186";">180"
"36";"1065";">=180"
"36";"1068";">=180"
"36";"1070";">=180"
"36";"1072";">=180"
"36";"1076";">=180"
"36";"1229";">=180"
"36";"1418";">=180"
"36";"1427";">=180"
"36";"1435";">=180"
"36";"1444";">=180"
"36";"1449";">=180"
"36";"1453";">=180"
"36";"1457";">=180"
"36";"1480";">=180"
"36";"2342";">=180"
"36";"1832";">=180"
"36";"2000";">=180"
"36";"2066";">=180"
"36";"2067";">=180"
"37";"1735";">365"
"38";"2339";">=365"
"38";"1966";">=365"
"38";"1972";">=365"
"39";"1952";">=730"
"39";"1962";">=730"
"40";"1732";">730"
"41";"195";"<180"
"41";"194";"<180"
"273";"541";"< 14"
"273";"542";"< 14"
"1892";"1889";">=3 && <=30"
"1957";"1953";"365-730"
