"dx_criteria_ID";"min_numReq";"max_numReq"
595;0;1
827;0;1
1633;0;1
1684;0;4
1725;0;4
1243;0;1
969;0;1
1856;0;1
2081;0;4
2128;0;7
2212;0;5
542;1;2
368;1;7
2375;1;2
2376;1;2
1632;1;2
1665;1;4
1673;1;3
160;1;2
850;1;1
867;1;2
876;1;1
899;1;2
908;1;4
177;1;3
1146;1;4
1186;1;4
1223;1;2
1290;1;3
1293;1;3
1311;1;2
1372;1;2
1373;1;3
1394;1;3
1391;1;2
1405;1;2
1427;1;3
1444;1;2
1449;1;2
1457;1;4
2315;1;2
2414;1;2
2442;1;7
2715;1;3
2717;1;6
2813;1;6
1869;1;4
1895;1;4
1898;1;7
1902;1;2
1920;1;3
1925;1;6
2176;1;2
1978;1;4
1982;1;7
2046;1;2
2121;1;2
2168;1;3
2174;1;2
2190;1;2
2191;1;2
2192;1;2
2193;1;2
2194;1;2
2195;1;2
2223;1;2
2224;1;2
2225;1;2
2226;1;2
2227;1;2
2228;1;2
2229;1;2
2230;1;2
592;2;5
1508;2;3
1643;2;5
843;2;2
860;2;3
868;2;2
885;2;5
896;2;5
1164;2;2
2630;2;8
2644;2;8
2677;2;8
2679;2;7
2694;2;5
2755;2;9
2798;2;13
981;2;4
1832;2;6
1905;2;7
1912;2;6
1932;2;5
1956;2;6
2011;2;5
2120;2;2
2122;2;3
2159;2;3
2169;2;2
2172;2;4
2297;2;3
2396;2;3
2295;2;3
2288;2;3
2512;2;3
2287;2;3
2283;2;3
2282;2;3
2822;2;3
2281;2;3
1502;3;4
958;3;8
1586;3;12
1608;3;12
1698;3;7
1740;3;7
853;3;3
869;3;6
1191;3;5
2339;3;15
1327;3;3
1435;3;6
2402;3;9
2437;3;7
2486;3;5
2067;3;6
2096;3;9
356;1;3
379;4;4
815;4;7
817;4;5
1035;4;8
1043;4;7
2362;4;11
495;4;11
502;4;6
2342;4;8
2537;4;7
2597;4;9
2396;4;11
2423;4;10
2450;4;11
2500;4;12
2517;4;10
2552;4;10
2578;4;10
2045;4;13
2608;4;11
541;5;9
802;5;9
1017;5;9
1026;5;8
1044;5;8
1053;5;9
1707;5;9
2483;5;12
1521;6;9
1522;6;9
1523;6;9
1524;6;9
1480;6;8
1874;9;14
